source,cited,citation_analysis
11520919,33461366,neither
11520919,38710132,positive
11520919,11033374,positive
11520919,16717171,positive
11520919,16717171,neither
11520919,16364141,positive
11520919,16364141,neither
11520919,11033374,neither
11520919,37776584,positive
11520919,37776584,neither
11520919,27031595,positive
11520919,27031595,neither
11520919,35853331,positive
11520919,35853331,neither
11520919,38735910,positive
11520919,38735910,neither
11520919,30648682,positive
11520919,30648682,neither
11520919,29795909,positive
11520919,29795909,neither
11520919,38250508,positive
11520919,38250508,negative
11520919,30853192,positive
11520919,30853192,neither
11520919,35053761,positive
11520919,37645455,positive
11520919,36908717,positive
11520919,36908717,neither
11520919,36747476,positive
11520919,36747476,neither
7850979,17956744,positive
7850979,17956744,neither
7850979,16254994,positive
7850979,16254994,neither
7850979,22131600,positive
7850979,22131600,neither
7850979,28449896,positive
7850979,28449896,neither
7850979,16335332,positive
7850979,16335332,neither
7850979,22526822,positive
7850979,22526822,neither
7850979,17915984,positive
7850979,27977219,positive
7850979,27977219,neither
7850979,22705242,positive
7850979,22705242,neither
7850979,26089709,positive
7850979,26089709,neither
7850979,17162985,positive
7850979,12042198,positive
7850979,12042198,neither
7850979,16452333,positive
7850979,16452333,neither
7850979,12127178,positive
7850979,12127178,neither
7850979,9302720,positive
7850979,9302720,neither
7850979,20808113,positive
7850979,20808113,neither
7850979,26249643,positive
7850979,26249643,neither
7850979,19467926,positive
7850979,19467926,neither
7850979,10940442,positive
7850979,10940442,negative
7850979,11318929,positive
7850979,11318929,neither
7850979,27990129,positive
7850979,24292341,positive
7850979,28574585,positive
7850979,28574585,neither
7850979,29747578,positive
7850979,29747578,neither
7850979,14691593,positive
7850979,14691593,neither
7850979,16496062,positive
7850979,16496062,neither
7850979,8991972,positive
7850979,15172205,positive
7850979,12776382,positive
7850979,12776382,neither
7850979,16768578,positive
7850979,16768578,neither
7850979,15586779,positive
7850979,15586779,neither
7850979,20679498,positive
7850979,20679498,negative
7850979,11568977,positive
7850979,3905939,positive
7850979,4040713,positive
7850979,4040713,neither
7850979,9358396,positive
7850979,11164054,positive
7850979,11164054,neither
7850979,18457234,positive
7850979,19531277,positive
7850979,6140318,positive
7850979,29559028,positive
7850979,18489206,positive
7850979,18489206,neither
7585267,16459140,positive
7585267,16459140,neither
7585267,23419741,positive
7585267,19896872,positive
7585267,19641160,positive
7585267,29576408,positive
7585267,29576408,neither
7585267,30410106,positive
7585267,30410106,neither
7585267,30069961,positive
7585267,30069961,neither
7585267,25728794,positive
7585267,25728794,neither
7585267,22433899,positive
7585267,22433899,neither
7585267,19403332,positive
7585267,19403332,neither
7585267,28041986,positive
7585267,28041986,neither
7585267,25451613,positive
7585267,25451613,neither
7585267,31036962,positive
7585267,31036962,neither
7585267,29256638,positive
7585267,29256638,neither
7585267,28337127,positive
7585267,28337127,neither
7585267,28345767,positive
7585267,28345767,neither
7585267,28109896,positive
7585267,28465478,positive
7585267,23066376,positive
7585267,31764734,positive
7585267,31764734,negative
7585267,25061767,positive
7585267,9720852,positive
7585267,9720852,neither
7585267,26083888,positive
7585267,26083888,neither
7585267,18561896,positive
7585267,18561896,neither
7585267,25061767,neither
7585267,22215923,positive
7585267,22215923,neither
7585267,26118561,positive
7585267,26118561,neither
7585267,23371889,positive
7585267,23371889,neither
7846869,30672873,positive
7846869,30672873,neither
7846869,15449219,positive
7846869,15449219,neither
7846869,23589584,positive
7846869,23589584,neither
7846869,9122568,positive
7846869,9122568,neither
7846869,30365900,positive
7846869,30365900,neither
7846869,11719309,positive
7846869,20957846,positive
7846869,20957846,neither
7846869,28424564,positive
7846869,28424564,neither
7846869,28522087,positive
7846869,28522087,neither
7846869,23036267,positive
7846869,23036267,neither
7846869,29891587,positive
7846869,29891587,neither
7846869,26298786,positive
7846869,26298786,neither
7846869,30694576,positive
7846869,30521757,positive
7846869,30521757,neither
7846869,30471270,positive
7846869,30471270,neither
7846869,31691827,positive
7846869,31691827,neither
7846869,27166238,positive
7846869,27166238,neither
7846869,30694576,neither
7846869,29031743,positive
7846869,29031743,neither
7846869,32588401,positive
7846869,31926465,positive
7846869,31926465,neither
7846869,32353246,positive
7846869,32353246,neither
7846869,33032062,positive
7846869,33032062,neither
7846869,27815038,positive
7846869,27815038,neither
7846869,27815038,negative
7846869,29047171,positive
7846869,29047171,neither
7846869,27810187,positive
7846869,28619176,positive
7846869,26923035,positive
7846869,26923035,neither
7846869,2595172,positive
7846869,2595172,negative
7846869,24127145,positive
7846869,24127145,neither
7846869,18246981,positive
7846869,18246981,negative
7846869,18246981,neither
8923684,3505730,positive
8923684,3505730,neither
8923684,26971662,positive
8923684,26971662,neither
8923684,16781987,positive
8923684,24587002,positive
8923684,24587002,neither
8923684,23347909,positive
8923684,23347909,neither
8923684,30789229,positive
8923684,33856074,positive
8923684,33856074,neither
8923684,20083800,positive
8923684,30852128,positive
8923684,30852128,neither
8923684,26545633,positive
8923684,26545633,neither
8923684,31277555,positive
8923684,31277555,neither
8923684,34942893,positive
8923684,34942893,neither
8923684,20477954,positive
8923684,20477954,neither
8923684,28790302,positive
8923684,28790302,neither
8923684,19238811,positive
8923684,19238811,neither
8923684,33637812,positive
8923684,33637812,neither
8923684,1202204,positive
8923684,1202204,neither
8923684,23009126,positive
8923684,23009126,neither
8923684,12482165,positive
8923684,12482165,neither
8923684,23146747,positive
8923684,23146747,neither
8923684,24938584,positive
8923684,24938584,neither
8923684,19945912,positive
8923684,19945912,neither
8923684,9923759,positive
8923684,26474316,positive
8923684,26474316,neither
8923684,18725592,positive
8923684,18725592,neither
8923684,17616482,positive
8923684,17616482,neither
8923684,21514250,positive
8923684,21514250,neither
8923684,16631882,positive
8923684,16631882,neither
8923684,20818653,positive
8923684,9020815,positive
8923684,9020815,neither
8923684,20462792,positive
8923684,20462792,neither
8923684,26912643,positive
8923684,26912643,neither
8923684,19845849,positive
8923684,30737310,positive
8923684,30737310,neither
8923684,28316568,positive
8923684,28316568,neither
8923684,10607066,positive
8923684,10607066,neither
8923684,2274616,positive
8923684,2274616,neither
8923684,10501513,positive
8923684,10501513,neither
8923684,11117469,positive
8923684,11117469,neither
8923684,31377324,positive
8923684,31377324,neither
8923684,24125856,positive
8923684,24673896,positive
8923684,26920675,positive
8923684,26920675,neither
8923684,12453060,positive
8923684,12453060,neither
8923684,28007991,positive
8923684,28007991,neither
8923684,30166532,positive
8923684,30166532,neither
8923684,25732183,positive
8923684,25732183,neither
8923684,26026164,positive
8923684,26026164,neither
8923684,21542022,positive
8923684,21542022,neither
10163901,12531164,positive
10163901,12531164,neither
10163901,2762689,positive
10163901,2762689,neither
10163901,13480240,positive
10163901,13480240,neither
10163901,17844579,positive
10163901,17844579,negative
10163901,19238800,positive
10163901,19250176,positive
10163901,19250176,neither
10163901,2435525,positive
10163901,2435525,neither
10163901,11446210,positive
10163901,11446210,neither
10163901,1374708,positive
10163901,1374708,neither
10163901,17557422,positive
10163901,17557422,neither
10163901,8248361,positive
10163901,8248361,neither
10163901,10607129,positive
10163901,10607129,neither
10163901,9065871,positive
10163901,9065871,neither
10163901,1293442,positive
10163901,1293442,neither
10163901,8036364,positive
10163901,8036364,neither
10163901,1621023,positive
10163901,1621023,neither
10163901,69533,positive
10163901,69533,neither
10163901,4129610,positive
10163901,4129610,neither
10163901,4105870,positive
10163901,4105870,neither
10163901,4348642,positive
10163901,31491655,positive
10163901,8186305,positive
10163901,8186305,neither
10163901,35259120,positive
10163901,35259120,neither
8184251,25367475,positive
8184251,25367475,neither
8184251,24095264,positive
8184251,24095264,neither
8184251,29959394,positive
8184251,24799552,positive
8184251,24799552,neither
8184251,2330099,positive
8184251,2330099,neither
8184251,23415568,positive
8184251,23415568,neither
8184251,10802466,positive
8184251,10802466,neither
8184251,7797629,positive
8184251,7797629,neither
8184251,21616693,positive
8184251,21616693,neither
8184251,16459139,positive
8184251,16459139,neither
8184251,8977941,positive
8184251,8977941,neither
8184251,5934869,positive
8184251,5934869,neither
8184251,1712276,positive
8184251,1712276,neither
8184251,16194798,positive
8184251,16194798,neither
8184251,15283006,positive
8184251,8638066,positive
8184251,8638066,neither
8184251,11516762,positive
8184251,11516762,neither
8184251,16453984,positive
8184251,16453984,neither
8184251,15283006,neither
8184251,26164370,positive
8184251,26164370,neither
8184251,26512216,positive
8184251,26512216,neither
8184251,9563584,positive
8184251,21102993,positive
8184251,25454846,positive
8184251,25708721,positive
8184251,9563584,neither
8184251,21102993,neither
8184251,25454846,neither
8184251,25708721,neither
8184251,11914411,positive
8184251,12486189,positive
8184251,10802466,negative
8184251,23450499,positive
8184251,23450499,neither
8184251,16343791,positive
8184251,16343791,neither
8184251,10981896,positive
8184251,10981896,neither
8184251,18463368,positive
8184251,18463368,neither
8184251,18351640,positive
8184251,18351640,neither
8184251,27568805,positive
8184251,27568805,neither
8184251,22414772,positive
8184251,11271165,positive
8184251,19294961,positive
8184251,19294961,neither
8184251,22329925,positive
8184251,22329925,neither
8184251,28575720,positive
8184251,28575720,neither
8184251,29959394,neither
8184251,27832078,positive
8184251,31786427,positive
8184251,31786427,neither
8184251,4048739,positive
8184251,4048739,neither
8184251,32896465,positive
8184251,32896465,neither
8184251,10607152,positive
8184251,10607152,neither
8184251,11914411,neither
8184251,12556916,positive
8184251,12556916,neither
8184251,11271165,neither
8184251,23385697,positive
